file	fan_in	fan_out
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/Assistant.java	1	5
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/ChatHistory.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/JudgeGuard.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/LocalTools.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/OwnerJwtPrincipal.java	3	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RagIngestion.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/RemoteToolsConfig.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/SecurityConfig.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/assistant/TokenCostMeter.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/diagram/AgentStateDiagram.java	0	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	1	10
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterGuard.java	5	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java	2	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	1	3
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java	2	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	4	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	2	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	2	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/Service.java	5	2
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ServiceHealth.java	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/PetTriageAgent.java	1	0
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/TriageController.java	0	1
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/NetworkLatencyProxy.java	1	0
petclinic-database/src/main/java/ro/victorrentea/petclinic/db/PostgresLauncher.java	0	1
